ID,Tipo,SKU,Nombre,Publicado,"Visibilidad en el catálogo","Día en que empieza el precio rebajado","Día en que termina el precio rebajado",Inventario,"Precio rebajado","Precio normal"
100765,variation,HC19AJ393,"SAUNA FACIAL PROFESIONAL - ROSA",1,visible,,,53,,70000
100766,variation,HC19AJ394,"SAUNA FACIAL PROFESIONAL - VERDE MENTA",1,visible,,,88,,70000
100790,variable,HC19AJ395,"SAUNA FACIAL",1,visible,,,,,
100793,variation,HC19AJ396,"SAUNA FACIAL - AZUL",1,visible,,,87,,50000
100794,variation,HC19AJ397,"SAUNA FACIAL - ROSA",1,visible,,,87,,50000
100795,variation,HC19AJ398,"SAUNA FACIAL - VERDE",1,visible,,,95,,50000
101266,simple,HC19AJ399,"CEPILLO SEPARADOR DE PESTAÑAS",1,visible,,,136,,7000
101275,simple,HC19AJ400,"SIGNATURE ROSE GOLD BLACK BH COSMETICS",'-1,visible,,,,,
101277,simple,HC19AJ401,"BROCHAS BH SIGNATURE ROSE GOLD BLACK BH COSMETICS",1,visible,,,116,,65000
101373,simple,HC19AJ402,"plato verde de base",'-1,visible,,,,,
101374,simple,HC19AJ403,SET,'-1,visible,,,,,
101433,variable,HC19AJ404,"HUMIFICADOR FACIAL- CARGADOR PORTATIL",1,visible,,,,,
101436,variation,HC19AJ405,"HUMIFICADOR FACIAL- CARGADOR PORTATIL - BLANCO",1,visible,,,113,,30000
