ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Inventario;Precio rebajado;Precio normal
36407;variation;HC19AJ140;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CLASSIC IVORY;1;visible;18/06/19 0:00;26/06/19 0:00;7;;35000
36408;variation;HC19AJ141;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY BEIGE;0;visible;;;;;35000
36409;variation;HC19AJ142;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY IVORY;1;visible;18/06/19 0:00;26/06/19 0:00;9;;35000
36410;variation;HC19AJ143;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY NATURAL;1;visible;18/06/19 0:00;26/06/19 0:00;16;;35000
36411;variation;HC19AJ144;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - HONEY;0;visible;;;;;35000
36412;variation;HC19AJ145;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - MEDIUM BEIGE;1;visible;18/06/19 0:00;26/06/19 0:00;3;;35000
36413;variation;HC19AJ146;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - NUDE;1;visible;18/06/19 0:00;26/06/19 0:00;20;;35000
36414;variation;HC19AJ147;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - PURE BEIGE;1;visible;18/06/19 0:00;26/06/19 0:00;11;;35000
36415;variation;HC19AJ148;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - SANDY BEIGE;1;visible;18/06/19 0:00;26/06/19 0:00;3;;35000
36416;variation;HC19AJ149;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - TAN;0;visible;;;;;35000
35475;variable;HC19AJ70;CORRECTOR PRO CONCEALER;1;visible;18/06/19 0:00;26/06/19 0:00;;;
35476;variation;HC19AJ71;CORRECTOR PRO CONCEALER - GC990;1;visible;18/06/19 0:00;26/06/19 0:00;1;;15000
35477;variation;HC19AJ72;CORRECTOR PRO CONCEALER - GC991;0;visible;;;;;15000
35478;variation;HC19AJ73;CORRECTOR PRO CONCEALER - GC992;1;visible;18/06/19 0:00;26/06/19 0:00;11;;15000
35479;variation;HC19AJ74;CORRECTOR PRO CONCEALER - GC993;0;visible;;;;;15000
35480;variation;HC19AJ75;CORRECTOR PRO CONCEALER - GC994;0;visible;;;;;15000
35481;variation;HC19AJ76;CORRECTOR PRO CONCEALER - GC995;0;visible;;;;;15000
35482;variation;HC19AJ77;CORRECTOR PRO CONCEALER - GC996;0;visible;;;;;15000
63659;variable;HC19AJ250;COSMETIQUERA TORNASOL;1;visible;18/06/19 0:00;26/06/19 0:00;;;
63669;variation;HC19AJ252;COSMETIQUERA TORNASOL - TORNASOL HIELO;1;visible;18/06/19 0:00;26/06/19 0:00;1;;15000
63661;variation;HC19AJ251;COSMETIQUERA TORNASOL - TORNASOL MORADO;1;visible;18/06/19 0:00;26/06/19 0:00;32;;15000
37492;variable;HC19AJ185;Depilador Facial - Pilas;1;visible;18/06/19 0:00;26/06/19 0:00;;;
37493;variation;HC19AJ186;Depilador Facial - Pilas - BLANCO;1;visible;18/06/19 0:00;26/06/19 0:00;100;;30000
37495;variation;HC19AJ188;Depilador Facial - Pilas - NEGRO;0;visible;;;;;30000
37496;variation;HC19AJ189;Depilador Facial - Pilas - ROJO;0;visible;;;;;30000
37494;variation;HC19AJ187;Depilador Facial - Pilas - ROSADO;0;visible;;;;;30000
37477;variable;HC19AJ180;Depilador Facial - Recargable;1;visible;18/06/19 0:00;26/06/19 0:00;;;
37487;variation;HC19AJ181;Depilador Facial - Recargable - BLANCO;1;visible;18/06/19 0:00;26/06/19 0:00;100;;40000
37489;variation;HC19AJ183;Depilador Facial - Recargable - NEGRO;0;visible;;;;;40000
37490;variation;HC19AJ184;Depilador Facial - Recargable - ROJO;1;visible;18/06/19 0:00;26/06/19 0:00;1;;40000
37488;variation;HC19AJ182;Depilador Facial - Recargable - ROSADO;1;visible;18/06/19 0:00;26/06/19 0:00;0;;40000
65725;variable;HC19AJ286;DEPILADORA FEMENINA REMINGTON;1;visible;18/06/19 0:00;26/06/19 0:00;;;
66030;variation;HC19AJ289;DEPILADORA FEMENINA REMINGTON - ANIMAL PRINT;1;visible;18/06/19 0:00;26/06/19 0:00;15;;40000
66031;variation;HC19AJ290;DEPILADORA FEMENINA REMINGTON - FLORES;1;visible;18/06/19 0:00;26/06/19 0:00;4;;40000
771;variable;HC19AJ02;DESMAQUILLADOR DE OJOS Y LABIOS;'-1;visible;18/06/19 0:00;26/06/19 0:00;;;
774;variation;HC19AJ03;DESMAQUILLADOR DE OJOS Y LABIOS;1;visible;18/06/19 0:00;26/06/19 0:00;20;25000;45000
63327;simple;HC19AJ247;DESMAQUILLADOR DUAL;1;visible;18/06/19 0:00;26/06/19 0:00;20;;20000
96123;simple;HC19AJ378;DIAMANTE ARCOIRIS (copia);'-1;visible;;;;;45000
35891;simple;HC19AJ99;ENCRESPADOR;1;visible;18/06/19 0:00;26/06/19 0:00;69;;20000
104213;simple;HC19AJ420;ENCRESPADOR RECARGABLE - CARGADOR PORTATIL;1;visible;18/06/19 0:00;26/06/19 0:00;97;;70000
104729;simple;HC19AJ432;ESPEJO AGUA;1;visible;18/06/19 0:00;26/06/19 0:00;17;;5000
96100;simple;HC19AJ357;ESPEJO DONA;1;visible;18/06/19 0:00;26/06/19 0:00;8;;5000
50764;simple;HC19AJ227;ESPEJO EMOJI;1;visible;18/06/19 0:00;26/06/19 0:00;71;;5000
64351;variable;HC19AJ268;ESPEJO LED;1;visible;18/06/19 0:00;26/06/19 0:00;;;
64354;variation;HC19AJ269;ESPEJO LED - BLANCO;1;visible;18/06/19 0:00;26/06/19 0:00;100;;45000
64355;variation;HC19AJ270;ESPEJO LED - NEGRO;1;visible;18/06/19 0:00;26/06/19 0:00;15;;45000
64356;variation;HC19AJ271;ESPEJO LED - ROSA;1;visible;18/06/19 0:00;26/06/19 0:00;19;;45000
96106;simple;HC19AJ362;ESPRESSO YOURSELF PALETTE (copia);'-1;visible;;;;;45000
