ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario; Precio rebajado ; Precio normal ;10%;15%;20%;25%;30%;35%
36405;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF BEIGE;0;visible;;;35000;;;;;;
36406;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF;0;visible;;;35000;;;;;;
900;variation;;CORRECTOR DE OJERAS AGE RE - Fair;1;visible;;; $25.000 ; $22.500 ; $19.125 ; $15.300 ; $11.475 ; $8.033 ; $5.221 
36408;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY BEIGE;0;visible;;;35000;;;;;;
769;variation;;CORRECTOR DE OJERAS AGE RE - Honey;1;visible;;; $25.000 ; $22.500 ; $19.125 ; $15.300 ; $11.475 ; $8.033 ; $5.221 
901;variation;;CORRECTOR DE OJERAS AGE RE - Light;1;visible;;; $25.000 ; $22.500 ; $19.125 ; $15.300 ; $11.475 ; $8.033 ; $5.221 
36411;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - HONEY;0;visible;;;35000;;;;;;
899;variation;;CORRECTOR DE OJERAS AGE RE - Medium;1;visible;;; $25.000 ; $22.500 ; $19.125 ; $15.300 ; $11.475 ; $8.033 ; $5.221 
902;variation;;CORRECTOR DE OJERAS AGE RE - Neutralizer;1;visible;;; $25.000 ; $22.500 ; $19.125 ; $15.300 ; $11.475 ; $8.033 ; $5.221 
36599;variable;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE;1;visible;;;; $- ; $- ; $- ; $- ; $- ; $- 
36619;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - MEDIUM;1;visible;14;; $30.000 ; $27.000 ; $22.950 ; $18.360 ; $13.770 ; $9.639 ; $6.265 
36416;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - TAN;0;visible;;;35000;;;;;;
36620;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - NEUTRALIZER;1;visible;4;; $30.000 ; $27.000 ; $22.950 ; $18.360 ; $13.770 ; $9.639 ; $6.265 
36611;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - BRIGHTENER;0;visible;;;30000;;;;;;
36612;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - CARAMEL;0;visible;;;30000;;;;;;
36613;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - FAIR;0;visible;;;30000;;;;;;
36614;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - GOLDEN;0;visible;;;30000;;;;;;
36615;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HAZELNUT;0;visible;;;30000;;;;;;
36616;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HONEY;0;visible;5;;30000;;;;;;
36617;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - IVORY;0;visible;;;30000;;;;;;
36618;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - LIGHT;0;visible;;;30000;;;;;;
36404;variable;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT;1;visible;;;; $- ; $- ; $- ; $- ; $- ; $- 
36407;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CLASSIC IVORY;1;visible;;; $35.000 ; $31.500 ; $26.775 ; $21.420 ; $16.065 ; $11.246 ; $7.310 
36621;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - SAND;0;visible;;;30000;;;;;;
36622;variation;;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - TAN;0;visible;;;30000;;;;;;
37048;simple;;COMBO DIAMANTE ARCOIRIS;'-1;visible;;;40000;;;;;;
37050;simple;;COMBO DIAMANTE AZUL;'-1;visible;;;40000;;;;;;
37053;simple;;COMBO FACIAL ROSA;'-1;visible;;;30000;;;;;;
37058;simple;;COMBO SUGAR;'-1;visible;;;40000;;;;;;
36409;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY IVORY;1;visible;;; $35.000 ; $31.500 ; $26.775 ; $21.420 ; $16.065 ; $11.246 ; $7.310 
