"ID","Nombre","Publicado","Visibilidad en el catálogo","Precio rebajado","Precio normal","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3","Atributo por defecto 2"
"366990","DELINEADOR PLUMON ARTIST COLLECTION","1","visible","","","COLOR","BLANCO, MORADO, VINOTINTO","1","1","MARCA","TRENDY","1","1","EDAD","25-35, 35-45, 45 en adelante","1","1",""
"366994","DELINEADOR PLUMON ARTIST COLLECTION","1","visible","","15000","MARCA","TRENDY","","","","","","","","","","",""
"366995","DELINEADOR PLUMON ARTIST COLLECTION","1","visible","","15000","MARCA","TRENDY","","","","","","","","","","",""
"366996","DELINEADOR PLUMON ARTIST COLLECTION","1","visible","","15000","MARCA","TRENDY","","","","","","","","","","",""
"358854","DEPILADORA 2 EN 1 HOLY","1","visible","","60000","MARCA","HOLY COSMETICS","1","1","","","","","","","","",""
"153782","DEPILADORA 4 EN 1","1","visible","","45000","MARCA","MARSKE","1","1","EDAD","25-35, 35-45, 45 en adelante","1","1","","","","",""
"285611","DEPILADORA WATERPROOF","1","visible","","50000","MARCA","MARSKE","1","1","EDAD","15-25, 25-35","1","1","","","","",""
"187672","DRILL PULIDOR DE UÑAS","1","visible","","60000","MARCA","LINA","1","1","EDAD","15-25, 25-35","1","1","","","","",""
"216738","DRILL PULIDOR DE UÑAS PORTATIL","1","visible","","35000","MARCA","GENERICO","1","1","","","","","","","","",""
"353614","DRILL PULIDOR DE UÑAS PROFESIONAL","1","visible","","180000","MARCA","NAIL MASTER","1","1","EDAD","15-25, 25-35","1","1","","","","",""
"222775","DRILL PULIDOR DE UÑAS RECARGABLE","1","visible","","","MARCA","GENERICO","1","1","COLOR","BLANCO, ROSADO","1","1","EDAD","15-25, 25-35","1","1",""
"371545","DRILL PULIDOR DE UÑAS RECARGABLE - BLANCO","1","visible","","170000","COLOR","BLANCO","","1","","","","","","","","",""
"371546","DRILL PULIDOR DE UÑAS RECARGABLE - ROSADO","1","visible","","170000","COLOR","ROSADO","","1","","","","","","","","",""
"356219","DRILL PULIDOR PRO ROSA","1","visible","","200000","MARCA","NAIL POLISHER","1","1","EDAD","15-25, 25-35","1","1","","","","",""
"350586","ESMALTE SEMIPERMANENTE TONO AMARILLO 15ML","1","visible","","26000","MARCA","RONIKI","1","1","","","","","","","","",""
"350581","ESMALTE SEMIPERMANENTE TONO AMARILLO 7.3ML","1","visible","","16000","MARCA","RONIKI","1","1","","","","","","","","",""
"350596","ESMALTE SEMIPERMANENTE TONO FUCSIA 15ML","1","visible","","26000","MARCA","RONIKI","1","1","","","","","","","","",""
"350522","ESMALTE SEMIPERMANENTE TONO NEGRO 15ML","1","visible","","26000","MARCA","RONIKI","1","1","","","","","","","","",""
"350523","ESMALTE SEMIPERMANENTE TONO NEGRO 7.3ML","1","visible","","16000","MARCA","RONIKI","1","1","","","","","","","","",""
"350479","ESMALTE SEMIPERMANENTE TONOS AZULES 15ML","1","visible","","","MARCA","RONIKI","1","1","COLOR","CANDY COLORS 08, VIVID BLUE 03","1","1","EDAD","15-25, 25-35","1","1",""
"350484","ESMALTE SEMIPERMANENTE TONOS AZULES 15ML - CANDY COLORS 08","1","visible","","26000","COLOR","CANDY COLORS 08","","1","","","","","","","","",""
"350483","ESMALTE SEMIPERMANENTE TONOS AZULES 15ML - VIVID BLUE 03","1","visible","","26000","COLOR","VIVID BLUE 03","","1","","","","","","","","",""
"350434","ESMALTE SEMIPERMANENTE TONOS AZULES 7.3ML","1","visible","","16000","MARCA","RONIKI","","","","","","","","","","",""
"350504","ESMALTE SEMIPERMANENTE TONOS BLANCOS 15ML","1","visible","","","MARCA","RONIKI","1","1","COLOR","KE50, SUMMER SUNSHINE 01","1","1","EDAD","15-25, 25-35","1","1",""
"350506","ESMALTE SEMIPERMANENTE TONOS BLANCOS 15ML - KE50","1","visible","","26000","COLOR","KE50","","1","","","","","","","","",""
"350507","ESMALTE SEMIPERMANENTE TONOS BLANCOS 15ML - SUMMER SUNSHINE 01","1","visible","","26000","COLOR","SUMMER SUNSHINE 01","","1","","","","","","","","",""
"350496","ESMALTE SEMIPERMANENTE TONOS BLANCOS 7.3ML","1","visible","","","MARCA","RONIKI","1","1","COLOR","KE50, SUMMER SUNSHINE 01","1","1","EDAD","15-25, 25-35","1","1",""
